symbol
ABB.NS
ABBOTINDIA.NS
ACC.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANIPOWER.NS
ALKEM.NS
AMBUJACEM.NS
APARINDS.NS
APLAPOLLO.NS
APOLLOHOSP.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
BAJFINANCE.NS
BALKRISIND.NS
BANKBARODA.NS
BDL.NS
BEL.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BIOCON.NS
BPCL.NS
BRITANNIA.NS
CANBK.NS
CGPOWER.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COCHINSHIP.NS
COFORGE.NS
CONCOR.NS
CROMPTON.NS
CUMMINSIND.NS
DABUR.NS
DEEPAKNTR.NS
DELHIVERY.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DMART.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
ETERNAL.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GODREJCP.NS
GODREJPROP.NS
GRASIM.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDUNILVR.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDFCFIRSTB.NS
INDHOTEL.NS
INDIAMART.NS
INDIANB.NS
INDIGO.NS
INDUSINDBK.NS
INDUSTOWER.NS
INFY.NS
IOC.NS
IRCTC.NS
IRFC.NS
ITC.NS
JINDALSTEL.NS
JSWENERGY.NS
JSWSTEEL.NS
KEI.NS
KOTAKBANK.NS
LAURUSLABS.NS
LEMONTREE.NS
LICI.NS
LODHA.NS
LT.NS
LTIM.NS
LUPIN.NS
M&M.NS
MARICO.NS
MARUTI.NS
MAXHEALTH.NS
MAZDOCK.NS
MPHASIS.NS
MRF.NS
NAUKRI.NS
NESTLEIND.NS
NTPC.NS
NYKAA.NS
OBEROIRLTY.NS
OFSS.NS
ONGC.NS
PAYTM.NS
PERSISTENT.NS
PFC.NS
PHOENIXLTD.NS
PIDILITIND.NS
PIIND.NS
PNB.NS
POLYCAB.NS
POWERGRID.NS
PRESTIGE.NS
RECLTD.NS
RELIANCE.NS
SAIL.NS
SBILIFE.NS
SBIN.NS
SHREECEM.NS
SIEMENS.NS
SRF.NS
SUNPHARMA.NS
TATAMOTORS.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TITAN.NS
TORNTPOWER.NS
TRENT.NS
TVSMOTOR.NS
ULTRACEMCO.NS
UNIONBANK.NS
VEDL.NS
VGUARD.NS
VOLTAS.NS
WHIRLPOOL.NS
WIPRO.NS
ZOMATO.NS
ZYDUSLIFE.NS
